install_month,band,n,share
2025-05,30+,1,0.00045045045045045046
2025-05,4-6,11,0.004954954954954955
2025-05,9-10,53,0.023873873873873873
2025-05,NoBattery,2082,0.9378378378378378
2025-05,Other,47,0.02117117117117117
2025-06,13-14,8,0.004747774480712166
2025-06,20-30,11,0.006528189910979229
2025-06,4-6,12,0.007121661721068249
2025-06,9-10,24,0.014243323442136498
2025-06,NoBattery,1602,0.9507418397626113
2025-06,Other,28,0.01661721068249258
2025-07,13-14,208,0.07174887892376682
2025-07,20-30,298,0.10279406691962746
2025-07,30+,119,0.04104863746119351
2025-07,4-6,272,0.09382545705415661
2025-07,9-10,396,0.1365988271817868
2025-07,NoBattery,1060,0.3656433252845809
2025-07,Other,546,0.18834080717488788
2025-08,13-14,106,0.07015221707478492
2025-08,20-30,260,0.17207147584381205
2025-08,30+,105,0.06949040370615486
2025-08,4-6,196,0.12971542025148908
2025-08,9-10,151,0.099933818663137
2025-08,NoBattery,403,0.26671078755790867
2025-08,Other,290,0.19192587690271343
