pvd_id,state,install_month,pv_dc_kw,pv_ac_kw,battery_kwh,stc_count,stc_price,stc_value,battery_rebate,price_base,price_net,annual_generation_kwh,annual_savings_aud,payback_years_net
271129,SA,2024-03,7.89,5.0,4.79,76.0,35.0,2660.0,0.0,17244.824999999997,14584.824999999997,11835.0,3171.78,4.598309151328275
271676,WA,2024-07,4.15,5.0,,40.0,35.0,1400.0,0.0,,,6640.000000000001,810.0800000000002,
271710,SA,2024-05,10.79,8.2,,104.0,35.0,3640.0,0.0,,,16184.999999999998,2783.8199999999997,
271877,NSW,2023-11,10.56,8.0,,116.0,35.0,4060.0,0.0,,,14784.0,2247.1679999999997,
271882,QLD,2024-06,13.28,10.0,,128.0,35.0,4480.0,0.0,,,19920.0,2768.88,
272176,NSW,2023-12,6.45,5.0,,71.0,35.0,2485.0,0.0,,,9030.0,1372.56,
272529,WA,2024-09,6.6,5.0,,63.0,35.0,2205.0,0.0,,,10560.0,1288.32,
272607,WA,2023-12,5.81,5.0,,71.0,35.0,2485.0,0.0,,,9296.0,1134.1119999999999,
272897,NSW,2024-03,9.68,0.38,,93.0,35.0,3255.0,0.0,,,13552.0,2059.904,
273026,SA,2024-03,10.79,8.2,,104.0,35.0,3640.0,0.0,,,16184.999999999998,2783.8199999999997,
273353,VIC,2023-12,6.6,5.0,,62.0,35.0,2170.0,0.0,,,8580.0,1141.14,
273421,NSW,2025-05,5.16,5.0,,42.0,34.0,1428.0,0.0,,,7224.0,1098.048,
273781,SA,2024-07,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
273822,SA,2024-12,12.76,5.0,13.5,123.0,35.0,4305.0,0.0,32140.199999999997,27835.199999999997,19140.0,5129.52,5.4264726524119204
274145,ACT,2024-03,16.72,15.0,,161.0,35.0,5635.0,0.0,,,23408.0,3417.5679999999998,
274501,WA,2024-01,12.3,10.0,,118.0,35.0,4130.0,0.0,,,19680.0,2400.96,
274536,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
274538,SA,2024-04,11.0,5.0,3.2,106.0,35.0,3710.0,0.0,19354.5,15644.5,16500.0,4422.0,3.537878787878788
274585,SA,2024-03,10.14,8.2,13.5,98.0,35.0,3430.0,0.0,29638.949999999997,26208.949999999997,15210.0,4076.2800000000007,6.42962455964752
274668,NSW,2023-12,13.28,10.0,,146.0,35.0,5110.0,0.0,,,18592.0,2825.984,
274685,NSW,2024-06,7.6,6.0,,73.0,35.0,2555.0,0.0,,,10640.0,1617.2800000000002,
274737,SA,2024-12,13.2,5.0,,127.0,35.0,4445.0,0.0,,,19800.0,3405.6000000000004,
274774,NSW,2024-09,12.45,10.0,22.4,120.0,35.0,4200.0,0.0,42850.29375,38650.29375,17430.0,4322.64,8.941363090611292
274810,QLD,2024-02,13.28,10.0,,128.0,35.0,4480.0,0.0,,,19920.0,2768.88,
275109,NSW,2023-06,9.96,10.0,,110.0,35.0,3850.0,0.0,,,13944.000000000002,2119.4880000000003,
275194,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
275196,SA,2024-07,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
275550,VIC,2024-10,10.12,10.0,,83.0,35.0,2905.0,0.0,,,13155.999999999998,1749.7479999999998,
275553,VIC,2024-10,13.2,10.0,,109.0,35.0,3815.0,0.0,,,17160.0,2282.28,
275614,SA,2023-12,8.36,5.0,47.9,92.0,35.0,3220.0,0.0,62431.2,59211.2,12540.0,3360.7200000000003,17.618605536908756
275690,VIC,2024-05,10.56,10.0,,87.0,35.0,3045.0,0.0,,,13728.0,1825.824,
276075,WA,2024-06,12.84,5.0,,124.0,35.0,4340.0,0.0,,,20544.0,2506.3679999999995,
276084,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
276085,SA,2024-01,6.64,5.0,4.79,64.0,35.0,2240.0,0.0,15735.449999999999,13495.449999999999,9960.0,2669.28,5.055839027752802
276289,VIC,2024-03,13.05,10.0,,108.0,35.0,3780.0,0.0,,,16965.0,2256.3450000000003,
276316,VIC,2023-07,2.59,2.5,,24.0,35.0,840.0,0.0,,,3367.0,447.81100000000004,
276409,WA,2024-01,13.2,10.0,25.6,127.0,35.0,4445.0,0.0,46230.0,41785.0,21120.0,4604.159999999999,9.075488254100641
276566,SA,2024-02,18.48,15.0,13.5,178.0,35.0,6230.0,0.0,41117.1,34887.1,27720.0,7428.960000000001,4.696094742736533
276571,WA,2023-10,8.3,5.0,4.8,91.0,35.0,3185.0,0.0,17750.25,14565.25,13280.000000000002,2895.04,5.031104924284294
276739,NSW,2025-02,6.64,5.0,,55.0,35.5,1952.5,0.0,,,9296.0,1412.992,
276991,SA,2024-01,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
276993,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
277045,SA,2024-04,6.64,4.99,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
277047,SA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
277050,SA,2023-12,7.92,5.0,4.79,87.0,35.0,3045.0,0.0,17281.05,14236.05,11880.0,3183.84,4.471345921905623
277066,NSW,2024-09,13.2,10.0,,127.0,35.0,4445.0,0.0,,,18480.0,2808.96,
277180,SA,2024-03,7.92,5.0,5.5,76.0,35.0,2660.0,0.0,18015.899999999998,15355.899999999998,11880.0,3183.84,4.823075280164831
277181,SA,2024-03,7.92,5.0,4.79,76.0,35.0,2660.0,0.0,17281.05,14621.05,11880.0,3183.84,4.592269083873561
277588,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
277692,NSW,2024-01,2.34,2.5,,22.0,35.0,770.0,0.0,,,3276.0,497.952,
277774,NSW,2024-01,2.34,2.0,,22.0,35.0,770.0,0.0,,,3276.0,497.952,
277778,NSW,2024-01,2.34,2.5,,22.0,35.0,770.0,0.0,,,3276.0,497.952,
277784,NSW,2024-01,2.34,2.5,,22.0,35.0,770.0,0.0,,,3276.0,497.952,
277924,SA,2024-05,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
277962,SA,2024-03,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
278368,SA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9960.0,1713.1200000000001,
278369,SA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
279068,SA,2024-06,7.89,6.0,,76.0,35.0,2660.0,0.0,,,11835.0,2035.6200000000001,
279070,SA,2024-06,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
279213,ACT,2024-04,8.55,10.0,,82.0,35.0,2870.0,0.0,,,11970.000000000002,1747.6200000000003,
279469,NSW,2023-07,9.13,8.5,,100.0,35.0,3500.0,0.0,,,12782.000000000002,1942.8640000000003,
279490,WA,2024-07,10.79,8.2,,104.0,35.0,3640.0,0.0,,,17264.0,2106.2079999999996,
279491,WA,2024-07,10.79,8.2,,104.0,35.0,3640.0,0.0,,,17264.0,2106.2079999999996,
279679,NSW,2023-07,7.89,6.0,,87.0,35.0,3045.0,0.0,,,11046.0,1678.992,
279803,NSW,2024-03,19.36,15.0,,187.0,35.0,6545.0,0.0,,,27104.0,4119.808,
279879,SA,2024-07,19.92,15.0,,192.0,35.0,6720.0,0.0,,,29880.000000000004,5139.360000000001,
279885,SA,2024-05,7.89,6.0,,76.0,35.0,2660.0,0.0,,,11835.0,2035.6200000000001,
279959,WA,2024-05,6.56,5.0,,63.0,35.0,2205.0,0.0,,,10496.0,1280.512,
280015,NSW,2024-02,9.62,10.0,,93.0,35.0,3255.0,0.0,,,13467.999999999998,2047.1359999999995,
280082,SA,2024-02,10.56,8.0,,102.0,35.0,3570.0,0.0,,,15840.0,2724.48,
280093,SA,2024-04,7.92,5.0,4.79,76.0,35.0,2660.0,0.0,17281.05,14621.05,11880.0,3183.84,4.592269083873561
280094,SA,2024-05,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280185,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280188,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280189,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280190,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280191,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280192,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280193,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280194,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280195,SA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
280228,QLD,2024-08,10.38,8.0,,100.0,35.0,3500.0,0.0,,,15570.000000000002,2164.23,
280387,VIC,2024-01,15.2,15.0,,126.0,35.0,4410.0,0.0,,,19760.0,2628.0800000000004,
280443,SA,2024-05,10.12,8.5,,97.0,35.0,3395.0,0.0,,,15179.999999999998,2610.96,
280448,SA,2024-02,7.92,5.0,4.79,76.0,35.0,2660.0,0.0,17281.05,14621.05,11880.0,3183.84,4.592269083873561
280456,SA,2024-07,6.6,5.0,,63.0,35.0,2205.0,0.0,,,9900.0,1702.8000000000002,
280648,SA,2024-11,9.96,8.0,4.5,96.0,35.0,3360.0,0.0,20065.199999999997,16705.199999999997,14940.000000000002,4003.9200000000005,4.172211232991667
280652,SA,2024-04,9.96,8.0,4.5,96.0,35.0,3360.0,0.0,20065.199999999997,16705.199999999997,14940.000000000002,4003.9200000000005,4.172211232991667
280653,SA,2024-04,9.96,8.0,4.5,96.0,35.0,3360.0,0.0,20065.199999999997,16705.199999999997,14940.000000000002,4003.9200000000005,4.172211232991667
280789,ACT,2023-12,19.92,15.0,,220.0,35.0,7700.0,0.0,,,27888.000000000004,4071.648000000001,
280981,QLD,2024-03,13.28,10.0,,128.0,35.0,4480.0,0.0,,,19920.0,2768.88,
281454,VIC,2023-08,6.64,5.0,,62.0,35.0,2170.0,0.0,,,8632.0,1148.056,
281652,VIC,2023-10,6.65,5.0,,63.0,35.0,2205.0,0.0,,,8645.0,1149.785,
281804,SA,2024-03,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281810,SA,2024-08,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281814,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281817,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281818,SA,2024-01,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281819,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
281821,WA,2025-03,13.28,10.0,,110.0,35.0,3850.0,0.0,,,21248.0,2592.256,
282510,NSW,2023-12,9.96,0.35,,110.0,35.0,3850.0,0.0,,,13944.000000000002,2119.4880000000003,
282552,ACT,2024-06,13.2,10.0,,127.0,35.0,4445.0,0.0,,,18480.0,2698.08,
